metro	country	region	ismetro	location.code	gdpusc_2000	gdpusc_2001	gdpusc_2002	gdpusc_2003	gdpusc_2004	gdpusc_2005	gdpusc_2006	gdpusc_2007	gdpusc_2008	gdpusc_2009	gdpusc_2010	gdpusc_2011	gdpusc_2012	gdpusc_2013	gdpusc_2014	gdpusc_2015	gdpusc_2016	gdpusc_2017	gdpppp_2000	gdpppp_2001	gdpppp_2002	gdpppp_2003	gdpppp_2004	gdpppp_2005	gdpppp_2006	gdpppp_2007	gdpppp_2008	gdpppp_2009	gdpppp_2010	gdpppp_2011	gdpppp_2012	gdpppp_2013	gdpppp_2014	gdpppp_2015	gdpppp_2016	gdpppp_2017	poptot_2000	poptot_2001	poptot_2002	poptot_2003	poptot_2004	poptot_2005	poptot_2006	poptot_2007	poptot_2008	poptot_2009	poptot_2010	poptot_2011	poptot_2012	poptot_2013	poptot_2014	poptot_2015	poptot_2016	poptot_2017
Kuwait City	Kuwait	Middle East and Africa	1	KWM01	42982.51824	43428.46	45475.06379	53356.25463	59038.70146	65722.3016	71361.12397	76218.99439	77557.10502	72396.42666	70278.36419	76014.16954	80746.32076	82219.83188	83164.24185	83403.92388	86878.21409	86292.01135	75574.92298	78794.15698	83474.23916	99742.25448	112819.5371	127309.8887	139906.0721	153516.7251	157490.8168	150926.9535	146731.1652	162353.7448	177674.3832	182317.4483	188931.9902	201337.7866	212079.7964	225901.1305	1287.595537	1331.856135	1377.702079	1425.125342	1474.251381	1532.809	1612.809517	1696.818755	1785.171818	1877.618138	1974.808641	2076.807	2206.947808	2345.244036	2492.20708	2583.702864	2672.19534	2754.80487
Lagos	Nigeria	Middle East and Africa	1	NGM01	16002.66696	17291.16386	20399.03901	22322.3997	25122.95477	27288.9621	29619.50465	32443.28924	35507.29544	39370.33118	44803.73416	47258.92618	49831.38234	53546.016	57937.19063	60288.09061	58589.05698	59720.53339	29942.67086	32679.24225	39088.64594	44487.79027	53177.6838	61756.16534	69676.72166	77163.83858	84559.37938	94056.40812	107836.874	117411.2807	127624.3331	140454.894	155928.8963	164576.8839	163734.1614	172571.0299	7201.261908	7489.209282	7789.091985	8100.982222	8425.816659	8762.728854	9113.605	9478.531146	9858.603204	10252.80637	10663.34828	11090.32885	11535.03091	11996.26657	12475.94477	12979.63805	13512.3581	14078.2858
Lahore	Pakistan	Middle East and Africa	1	PKM02	6140.145046	6399.664983	6716.157907	7080.380978	7636.37626	8441.747192	8945.738418	9568.564025	10198.48684	10141.62924	10495.67994	10976.25838	11470.09194	12019.26519	12672.14658	13353.21172	14173.58639	15144.14517	20700.9577	22323.10701	23504.2093	25163.05688	28148.55642	32180.0147	36294.58907	39893.9608	44387.72143	42925.73427	44757.00018	46821.01654	50862.40836	53242.17417	56624.97487	59461.06157	62123.88817	65887.65431	5265.314161	5460.163831	5653.500145	5848.712906	6047.16983	6246.30754	6466.884943	6680.418616	6896.946241	7113.934905	7322.190422	7571.623596	7819.32517	8070.076419	8324.624517	8584.066727	8849.954403	9122.173092
Langfang, Hebei	China	Emerging Asia-Pacific	1	CNM91	5772.563895	6430.63618	7176.589976	8044.957363	9050.577034	10236.20263	11792.10542	13560.92124	15161.10994	16798.50982	18898.32355	20410.18943	22389.9778	24246.10696	26234.28773	28542.90506	30574.85051	32543.16249	10974.83516	12300.3346	13759.23663	15694.63883	18224.06936	21744.46473	25639.98054	29561.6035	33197.77315	36512.2973	40683.95783	45755.16379	50678.71284	54576.34478	59356.14127	63323.89213	68797.05638	74610.97361	3826.53817	3878.701539	3927.222664	3975.405338	4027.257626	4080.587345	4137.457762	4193.828331	4250.787316	4308.179696	4363.800567	4398.929964	4434.200585	4468.4	4521.8	4563.2	4593.955234	4619.975502
Lanzhou, Gansu	China	Emerging Asia-Pacific	1	CNM95	5177.034781	5694.738259	6286.991038	6978.560052	7774.115898	8707.009806	9752.721683	10971.81189	12234.66744	13556.01153	15291.181	17569.56697	19554.92804	22212.44276	24522.53681	26754.08766	28764.93988	30653.98948	11904.31624	13169.48983	14745.71084	16566.78445	18193.14744	20082.56276	22429.4016	24508.17591	26718.85749	29464.58516	33134.6461	38613.14225	44168.23255	49894.57666	55673.35791	61657.86599	65381.32694	71021.7812	3146.065275	3194.6908	3243.512589	3292.530641	3341.744955	3391.155534	3434.922391	3478.348487	3523.602139	3570.816313	3619.63236	3622.46635	3638.205302	3641.6	3664.9	3693.1	3703.907486	3702.413455
Las Vegas-Henderson-Paradise, NV	United States	North America	1	USM30	68601.02871	68833.4402	71885.86132	75743.06284	85649.78511	94362.5563	97197.53864	98522.24491	95456.08282	84961.8449	82926.42847	83302.39899	83384.84071	85255.65906	86702.47011	93266.76667	95913.43803	99058.92011	53380.24563	55537.36749	59250.67442	63639.49135	74179.54035	84928.33562	90918.67993	95772.96179	94013.76116	84961.8449	83410.07513	84875.58404	87097.70883	90937.88492	94666.34487	104852.767	110150.2046	115770.279	1384.448125	1451.918063	1515.075625	1577.60325	1652.206	1721.6475	1793.8545	1858.59225	1905.6905	1935.19675	1951.4445	1965.68775	1992.11	2022.0935	2060.2105	2103.8645	2149.861	2195.90625
Lianyungang, Jiangsu	China	Emerging Asia-Pacific	1	CNM94	4658.415596	5040.405674	5544.446242	6215.324237	7079.254306	8084.508417	9313.353697	10719.67011	12123.94689	13777.65324	15651.41409	17686.09792	19932.23235	22194.54072	24458.38388	27099.88934	29208.53934	31186.74551	9961.96524	10819.08614	12092.18234	13042.0266	14292.63523	16152.79711	18532.16097	20677.66165	23684.77633	29946.33315	35932.62802	40050.74632	45286.68737	50146.51415	55741.71599	60396.23093	65444.42515	71015.99761	4558.198848	4557.517063	4529.277365	4500.002335	4471.212817	4451.217681	4450.048756	4447.850535	4431.804328	4412.080617	4395.294946	4403.432106	4406.9	4428.3	4451.7	4473.7	4488.657295	4507.090412
Liaocheng, Shandong	China	Emerging Asia-Pacific	1	CNM81	5647.638546	6325.355171	7223.555605	8408.218725	9837.615908	11559.19869	13563.56374	15760.86107	17809.77301	20178.47282	22842.03123	25651.60108	28909.35441	31860.9995	34855.93345	37923.25559	40864.04143	44000.61201	10382.85776	11795.21051	14031.98753	16869.97898	20438.11207	24552.43719	29553.44639	34294.13517	39549.45316	43858.79502	48852.96894	54500.32824	60632.11338	66449.42559	71344.22511	76339.00361	81500.30134	89319.86486	5390.744218	5445.033498	5476.318294	5508.873854	5548.748978	5596.575062	5640.262678	5682.22311	5719.552822	5758.686612	5795.059827	5834.251382	5872.447188	5911.293927	5969.868664	6040.381932	6103.76304	6134.044663
Lille transborder	France	Western Europe	1	FRM02	104400.744	105541.6334	106839.445	108051.3012	110483.5218	111760.4115	115192.7929	117538.7165	117409.0287	114227.7591	114457.7458	117847.8297	116534.4915	117619.969	119641.0618	121305.185	122451.8861	124360.4831	71632.82274	74112.91252	76327.45132	78592.62298	82812.30112	86410.23193	91796.13446	96253.43004	98298.53076	96250.25417	97685.02951	102558.5437	103251.7906	105826.2294	109556.471	112349.5739	114829.6598	118841.6133	3197.865961	3199.928873	3202.247822	3203.743827	3206.724749	3210.521043	3213.487035	3217.019846	3223.703624	3230.891811	3236.055931	3242.914443	3250.276813	3257.321589	3265.132234	3272.804052	3276.744439	3278.73685
Lima	Peru	Latin America	1	PEM01	36821.54244	36623.28707	37941.09521	39545.21273	41299.0393	43718.36111	47859.85285	52772.68574	57729.10431	57870.48746	64394.53927	69913.61401	74248.85306	78604.03447	81677.27787	84045.24295	86338.22708	88500.17715	65975.89797	68066.55739	72151.54318	76125.16554	80253.79756	86768.11826	93721.93497	105089.7162	118847.0262	122827.0672	134110.6362	143051.1564	158484.9747	173706.6729	185369.6653	196358.5155	205000.2629	214075.6894	8534.207296	8681.947766	8830.265572	8978.700066	9126.771135	9273.99779	9423.72476	9571.785132	9720.065891	9870.470839	10024.82223	10199.7548	10377.72671	10558.43751	10741.60651	10926.9317	11110.04574	11295.84205
Linyi, Shandong	China	Emerging Asia-Pacific	1	CNM59	8601.263666	9590.408988	10808.39093	12732.28451	14896.77288	17459.01782	20304.83772	23594.22143	26708.65866	30287.61892	34194.72176	38298.08838	42817.26281	47420.11856	52209.55053	55916.42862	60379.06733	65039.92193	20504.58326	23074.48396	26236.50002	31002.41336	36115.34627	42920.49088	49351.39523	55534.39975	61824.53413	65831.46712	72267.84986	78665.02434	85093.22858	93719.6225	101209.9089	108899.092	116982.7936	128256.6142	9903.391518	9946.723896	9947.200656	9949.379502	9964.083952	9992.215604	10012.06963	10028.03068	10035.05897	10044.5223	10048.45113	10086.37169	10122.26893	10158.98956	10279.83685	10432.11777	10544.06907	10597.23886
Lisboa	Portugal	Western Europe	1	PTM01	88618.76381	89815.96736	91634.75992	90920.62065	93382.76965	93950.53157	95115.53818	97256.75216	98084.65558	96034.91717	97743.46308	95544.84203	91210.98978	90190.51429	90153.70262	91484.54009	93163.31992	95781.80443	81018.6217	84091.36262	86831.59044	87967.68685	92827.35264	96391.96631	100598.5002	105846.9191	108686.8985	106690.4712	109519.7876	109428.6421	105549.4998	105767.0176	107577.0564	110170.8139	113452.8792	118888.4415	2818.484646	2847.220323	2873.875876	2895.204362	2911.155663	2925.19433	2939.572182	2955.451587	2972.477759	2989.35813	3005.205541	3014.52593	3011.884022	3001.418272	2995.41808	2996.747023	2997.783742	2996.99999
Liuzhou, Guangxi	China	Emerging Asia-Pacific	1	CNM87	4725.525175	5250.05847	5969.31648	6679.665141	7641.536922	8680.785943	10000.26541	11550.30654	13167.34946	15313.62742	17739.30601	19658.69892	21921.41516	24203.43448	26260.72641	28151.49871	30270.67456	32474.02002	7975.224663	9173.12509	10656.5404	12133.16244	14409.1172	18129.20043	21861.702	25251.50414	28723.05595	33284.84034	39606.25902	44855.06407	51420.96013	56455.90518	61147.5543	67670.53605	73267.21671	80305.34819	3420.255417	3462.046637	3503.043886	3543.501152	3583.712295	3623.933563	3652.603242	3681.077396	3709.309899	3737.248792	3764.930345	3793.9	3824.5	3856	3886.5	3922.7	3955.127477	3966.994646
Liverpool	United Kingdom	Western Europe	1	UKM03	54267.88245	56937.84748	59115.65156	61286.16316	62732.28093	64419.17946	68167.31496	67805.68334	68024.15701	66436.64667	66959.32161	66151.56891	65795.36763	66741.1644	69043.23541	70657.19742	71864.93378	72768.52676	40578.68062	43917.39178	46385.34587	49056.7515	51220.09951	54005.25238	58793.69833	59989.11326	61512.49637	60560.76275	61634.78452	62076.13138	62455.7318	64336.49284	67345.34479	70215.19631	72493.73298	74547.73244	1990.715603	1986.279226	1986.424144	1988.998155	1992.330119	1995.922205	2000.808859	2004.849605	2010.025642	2017.257229	2024.955793	2032.649375	2039.262255	2043.501067	2050.83487	2060.217181	2070.253787	2074.404043
London	United Kingdom	Western Europe	1	UKM01	627531.6748	642254.7071	653612.3695	672587.8702	680434.5154	713101.2373	728851.2069	758811.8426	770147.9906	737707.4424	756850.2174	785070.2937	809764.8664	826099.6706	863037.8698	888478.5199	905850.1522	920302.1419	474263.3106	494982.2524	513135.2508	537304.5419	559859.9852	600596.6425	629636.0484	676470.3896	691070.7974	672462.0769	697114.6899	735610.9857	769113.7897	797470.4997	855226.8006	881133.6952	908103.4355	937398.5011	12743.91745	12853.88994	12922.4891	12964.152	13028.93873	13154.24345	13285.52036	13438.47869	13610.15089	13790.93198	13969.31393	14159.73992	14312.90136	14475.75533	14659.53145	14847.10158	15006.78792	15149.76921
Los Angeles-Long Beach-Anaheim, CA	United States	North America	1	USM10	624648.6199	632733.2622	653487.1152	683310.607	711974.5037	733004.2719	763056.1533	773349.5892	779645.897	741619.0817	754473.1964	759957.2736	781949.6595	796766.0212	831006.8776	870364.7734	891877.5675	917023.7625	516435.474	534380.3481	560811.0731	595622.791	637519.1458	676585.6767	724445.1882	753118.7749	772729.0934	741619.0817	763984.8945	782563.1137	821765.5522	852511.3873	906340.1779	968641.5044	1009090.389	1054671.305	12373.9755	12495.63513	12600.05563	12683.48	12727.23	12724.5175	12678.3675	12642.955	12686.4625	12763.5175	12836.47	12929.76	13026.0625	13115.79	13191.5925	13258.72	13307.595	13376.5175
Louisville/Jefferson County, KY-IN	United States	North America	1	USM38	51269.13397	51301.94869	51322.99425	52380.50187	53937.92378	54954.3491	56406.04377	57058.65784	55654.77735	52990.65317	55374.85711	56911.2766	59008.74088	58989.99784	62851.73372	64212.84041	65694.31109	67073.53281	41934.86514	42917.6308	43686.29891	45273.00599	47748.20011	49892.79104	52486.96724	54442.96204	54020.82117	52990.65317	55846.4213	58108.20144	61813.02534	62909.63676	68552.95857	72131.00059	75114.3408	77835.90081	1122.667188	1131.186688	1139.481875	1150.2175	1160.67775	1171.51775	1185.42725	1200.6915	1214.89775	1226.498	1236.40325	1243.84975	1251.78775	1261.719	1269.86525	1276.692	1282.801	1290.9
Luanda	Angola	Middle East and Africa	1	AOM01	13027.04206	13939.72207	15655.27983	16487.05309	18595.72123	21688.81247	24102.43597	27712.22058	30992.48499	31856.15426	32661.14045	33424.76217	35777.71802	37390.54177	38590.85362	39490.36204	36325.27954	36506.38321	14708.98644	15629.17263	18867.95172	20714.47252	24084.12282	30093.08185	37231.44087	47278.29683	55922.2296	58364.24754	61431.5244	66150.07414	71544.4866	78887.81645	84371.11024	87742.15377	78346.1248	76428.10726	3206.212275	3411.088381	3629.366453	3861.611916	4109.069451	4371.637602	4651.382589	4949.026969	5150.692394	5359.985507	5578.090363	5805.070061	6041.285881	6287.113949	6542.944	6812.335622	7098.729627	7405.184512
Luoyang, Henan	China	Emerging Asia-Pacific	1	CNM63	8944.428332	9713.649169	10782.15058	12571.98757	14608.64956	16814.55564	19461.1667	22613.87571	25861.22826	29300.77162	33197.77424	37347.49602	41082.24563	43280.14577	47175.35889	51421.14119	55606.80874	59073.09295	16706.45448	18394.85961	21341.17928	25490.85825	32300.79456	39400.35024	46850.71753	53354.21353	60607.11301	63686.51125	69873.66624	76743.0133	84198.18228	88213.51042	93846.11828	99948.85673	109270.9746	118300.4426	6476.339651	6487.772058	6497.446558	6505.876666	6513.627682	6521.17464	6528.489307	6535.259259	6541.408737	6546.853702	6551.665803	6559.936846	6592.798119	6618.136895	6671.520103	6688.44152	6718.742506	6709.452264
